Human_date,Channel,kwh,db_date,
2/15/2019 20:00,10,3.7,2019-02-15 20:00:00,
2/15/2019 21:00,10,3.046,2019-02-15 21:00:00,
2/15/2019 22:00,10,1.201,2019-02-15 22:00:00,
2/15/2019 23:00,10,1.709,2019-02-15 23:00:00,
2/16/2019 0:00,10,1.229,2019-02-16 00:00:00,
2/16/2019 1:00,10,0.947,2019-02-16 01:00:00,
2/16/2019 2:00,10,0.879,2019-02-16 02:00:00,
2/16/2019 3:00,10,0.968,2019-02-16 03:00:00,
2/16/2019 4:00,10,0.874,2019-02-16 04:00:00,
2/16/2019 5:00,10,0.938,2019-02-16 05:00:00,
2/16/2019 6:00,10,1.058,2019-02-16 06:00:00,
2/16/2019 7:00,10,1.28,2019-02-16 07:00:00,
2/16/2019 8:00,10,1.103,2019-02-16 08:00:00,
2/16/2019 9:00,10,1.063,2019-02-16 09:00:00,
2/16/2019 10:00,10,1.197,2019-02-16 10:00:00,
2/16/2019 11:00,10,1.331,2019-02-16 11:00:00,
2/16/2019 12:00,10,1.029,2019-02-16 12:00:00,
2/16/2019 13:00,10,0.939,2019-02-16 13:00:00,
2/16/2019 14:00,10,0.964,2019-02-16 14:00:00,
2/16/2019 15:00,10,5.233,2019-02-16 15:00:00,
2/16/2019 16:00,10,2.72,2019-02-16 16:00:00,
2/16/2019 17:00,10,4.684,2019-02-16 17:00:00,
2/16/2019 18:00,10,1.568,2019-02-16 18:00:00,
2/16/2019 19:00,10,1.586,2019-02-16 19:00:00,
2/16/2019 20:00,10,5.561,2019-02-16 20:00:00,
2/16/2019 21:00,10,4.282,2019-02-16 21:00:00,
2/16/2019 22:00,10,3.535,2019-02-16 22:00:00,
2/16/2019 23:00,10,1.932,2019-02-16 23:00:00,
2/17/2019 0:00,10,1.008,2019-02-17 00:00:00,
2/17/2019 1:00,10,1.035,2019-02-17 01:00:00,
2/17/2019 2:00,10,1.02,2019-02-17 02:00:00,
2/17/2019 3:00,10,1.104,2019-02-17 03:00:00,
2/17/2019 4:00,10,1.028,2019-02-17 04:00:00,
2/17/2019 5:00,10,1.037,2019-02-17 05:00:00,
2/17/2019 6:00,10,1.413,2019-02-17 06:00:00,
2/17/2019 7:00,10,1.197,2019-02-17 07:00:00,
2/17/2019 8:00,10,1.2,2019-02-17 08:00:00,
2/17/2019 9:00,10,1.201,2019-02-17 09:00:00,
2/17/2019 10:00,10,1.615,2019-02-17 10:00:00,
2/17/2019 11:00,10,1.266,2019-02-17 11:00:00,
2/17/2019 12:00,10,1.664,2019-02-17 12:00:00,
2/17/2019 13:00,10,1.638,2019-02-17 13:00:00,
2/17/2019 14:00,10,1.684,2019-02-17 14:00:00,
2/17/2019 15:00,10,1.442,2019-02-17 15:00:00,
2/17/2019 16:00,10,1.314,2019-02-17 16:00:00,
2/17/2019 17:00,10,1.703,2019-02-17 17:00:00,
2/17/2019 18:00,10,5.337,2019-02-17 18:00:00,
2/17/2019 19:00,10,1.679,2019-02-17 19:00:00,
2/17/2019 20:00,10,3.284,2019-02-17 20:00:00,
2/17/2019 21:00,10,5.593,2019-02-17 21:00:00,
2/17/2019 22:00,10,1.346,2019-02-17 22:00:00,
2/17/2019 23:00,10,0.792,2019-02-17 23:00:00,
2/18/2019 0:00,10,0.998,2019-02-18 00:00:00,
2/18/2019 1:00,10,1.115,2019-02-18 01:00:00,
2/18/2019 2:00,10,0.96,2019-02-18 02:00:00,
2/18/2019 3:00,10,0.972,2019-02-18 03:00:00,
2/18/2019 4:00,10,0.874,2019-02-18 04:00:00,
2/18/2019 5:00,10,0.851,2019-02-18 05:00:00,
2/18/2019 6:00,10,0.964,2019-02-18 06:00:00,
2/18/2019 7:00,10,0.962,2019-02-18 07:00:00,
2/18/2019 8:00,10,0.981,2019-02-18 08:00:00,
2/18/2019 9:00,10,1.25,2019-02-18 09:00:00,
2/18/2019 10:00,10,1.166,2019-02-18 10:00:00,
2/18/2019 11:00,10,1.24,2019-02-18 11:00:00,
2/18/2019 12:00,10,1.103,2019-02-18 12:00:00,
2/18/2019 13:00,10,1.172,2019-02-18 13:00:00,
2/18/2019 14:00,10,1.287,2019-02-18 14:00:00,
2/18/2019 15:00,10,4.257,2019-02-18 15:00:00,
2/18/2019 16:00,10,2.613,2019-02-18 16:00:00,
2/18/2019 17:00,10,2.245,2019-02-18 17:00:00,
2/18/2019 18:00,10,4.321,2019-02-18 18:00:00,
2/18/2019 19:00,10,1.039,2019-02-18 19:00:00,
2/18/2019 20:00,10,1.081,2019-02-18 20:00:00,
2/18/2019 21:00,10,1.308,2019-02-18 21:00:00,
2/18/2019 22:00,10,4.896,2019-02-18 22:00:00,
2/18/2019 23:00,10,1.852,2019-02-18 23:00:00,
2/19/2019 0:00,10,1.429,2019-02-19 00:00:00,
2/19/2019 1:00,10,0.851,2019-02-19 01:00:00,
2/19/2019 2:00,10,0.773,2019-02-19 02:00:00,
2/19/2019 3:00,10,0.79,2019-02-19 03:00:00,
2/19/2019 4:00,10,0.712,2019-02-19 04:00:00,
2/19/2019 5:00,10,0.688,2019-02-19 05:00:00,
2/19/2019 6:00,10,0.807,2019-02-19 06:00:00,
2/19/2019 7:00,10,0.869,2019-02-19 07:00:00,
2/19/2019 8:00,10,1.345,2019-02-19 08:00:00,
2/19/2019 9:00,10,0.828,2019-02-19 09:00:00,
2/19/2019 10:00,10,0.968,2019-02-19 10:00:00,
2/19/2019 11:00,10,1.016,2019-02-19 11:00:00,
2/19/2019 12:00,10,1.112,2019-02-19 12:00:00,
2/19/2019 13:00,10,1.045,2019-02-19 13:00:00,
2/19/2019 14:00,10,0.825,2019-02-19 14:00:00,
2/19/2019 15:00,10,0.768,2019-02-19 15:00:00,
2/19/2019 16:00,10,1.15,2019-02-19 16:00:00,
